feature	coef
intercept	0.06555590030657040
y_lag1	0.6855546315451740
ret	-3.228555033738440
ret_sq	13.053538263208800
abs_ret	-2.2795662766243300
roll_mean_5	1.0413398912988200
roll_mean_21	-6.599531123665890
roll_vol_5	1.0380738252204100
roll_vol_21	4.60708833071913
downside_21	-5.997315701118230
drawdown_21	0.12228014475672400
realized_var_21	-10.620013225300800
